iter	Passed	Remaining
0	148	147898
1	149	74481
2	150	50013
3	151	37783
4	153	30456
5	154	25527
6	155	22078
7	156	19430
8	157	17351
9	158	15688
10	159	14326
11	160	13187
12	161	12258
13	162	11448
14	163	10745
15	164	10115
16	165	9561
17	166	9083
18	167	8672
19	168	8273
20	169	7916
21	171	7616
22	172	7325
23	174	7101
24	175	6849
25	176	6612
26	177	6390
27	178	6187
28	180	6045
29	181	5876
30	182	5706
31	183	5548
32	184	5402
33	185	5280
34	186	5155
35	188	5036
36	189	4929
37	190	4817
38	191	4723
39	192	4628
40	194	4538
41	195	4448
42	195	4361
43	196	4280
44	198	4212
45	199	4137
46	200	4063
47	201	3992
48	202	3925
49	204	3878
50	205	3816
51	206	3763
52	207	3705
53	208	3649
54	209	3603
55	210	3554
56	212	3507
57	212	3459
58	213	3411
59	214	3367
60	216	3331
61	217	3290
62	218	3249
63	219	3208
64	220	3169
65	222	3142
66	223	3106
67	224	3072
68	225	3037
69	225	3002
70	227	2973
71	228	2949
72	229	2917
73	230	2886
74	231	2857
75	232	2828
76	233	2798
77	235	2780
78	236	2752
79	236	2724
80	237	2700
81	238	2675
82	239	2644
83	240	2626
84	242	2609
85	243	2586
86	244	2563
87	245	2541
88	246	2519
89	247	2501
90	248	2480
91	249	2459
92	250	2439
93	251	2421
94	252	2406
95	253	2390
96	254	2372
97	255	2353
98	256	2335
99	257	2317
100	258	2298
101	259	2285
102	260	2268
103	261	2252
104	262	2237
105	263	2221
106	264	2206
107	265	2193
108	266	2178
109	267	2163
110	268	2147
111	269	2136
112	270	2124
113	272	2114
114	273	2101
115	274	2088
116	274	2074
117	275	2060
118	276	2049
119	278	2039
120	279	2027
121	279	2013
122	280	2002
123	281	1990
124	282	1978
125	283	1967
126	284	1958
127	286	1952
128	287	1940
129	288	1929
130	289	1919
131	290	1911
132	291	1901
133	292	1890
134	293	1880
135	294	1870
136	295	1859
137	296	1851
138	297	1843
139	298	1834
140	299	1825
141	300	1813
142	300	1803
143	301	1793
144	302	1784
145	303	1777
146	304	1768
147	305	1758
148	306	1749
149	307	1741
150	308	1732
151	309	1725
152	310	1718
153	311	1709
154	312	1700
155	312	1692
156	314	1686
157	314	1678
158	316	1673
159	317	1666
160	318	1657
161	319	1651
162	320	1643
163	320	1635
164	322	1631
165	323	1624
166	324	1617
167	325	1610
168	326	1604
169	327	1598
170	328	1593
171	329	1586
172	330	1580
173	331	1574
174	332	1568
175	333	1562
176	334	1557
177	335	1550
178	336	1544
179	337	1537
180	338	1530
181	339	1524
182	340	1518
183	341	1515
184	342	1508
185	343	1502
186	344	1495
187	344	1489
188	345	1483
189	346	1478
190	347	1473
191	348	1467
192	349	1461
193	350	1455
194	351	1449
195	351	1443
196	353	1439
197	354	1435
198	355	1429
199	356	1424
200	356	1418
201	357	1412
202	358	1407
203	359	1403
204	360	1398
205	361	1392
206	362	1387
207	363	1382
208	363	1376
209	364	1371
210	365	1366
211	366	1362
212	367	1357
213	368	1353
214	369	1348
215	370	1343
216	370	1338
217	372	1335
218	373	1330
219	373	1325
220	374	1321
221	375	1316
222	376	1311
223	377	1306
224	378	1303
225	379	1300
226	380	1296
227	381	1292
228	382	1287
229	383	1283
230	384	1280
231	385	1276
232	386	1272
